2024-04-19 19:39:54,007 | Guka.comunication.comunication | comunication.py[line:29] |  ERROR: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 |  __init__
2024-04-20 15:08:15,768 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:08:15,959 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:08:16,149 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:08:16,331 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:08:16,561 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:08:16,796 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:08:16,989 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:08:17,179 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:08:17,369 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:08:17,503 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:13:21,172 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:13:21,331 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:13:21,482 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:13:21,632 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:13:21,811 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:13:21,971 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:13:22,131 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:13:22,291 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:13:22,441 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:13:22,591 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 16:49:55,844 | Guka.comunication.comunication | comunication.py[line:93] |  ERROR: a bytes-like object is required, not 'list' |  read_audio
2024-04-20 16:49:55,994 | Guka.comunication.comunication | comunication.py[line:93] |  ERROR: a bytes-like object is required, not 'list' |  read_audio
2024-04-20 16:49:56,144 | Guka.comunication.comunication | comunication.py[line:93] |  ERROR: a bytes-like object is required, not 'list' |  read_audio
2024-04-20 16:49:56,293 | Guka.comunication.comunication | comunication.py[line:93] |  ERROR: a bytes-like object is required, not 'list' |  read_audio
2024-04-20 16:49:56,444 | Guka.comunication.comunication | comunication.py[line:93] |  ERROR: a bytes-like object is required, not 'list' |  read_audio
2024-04-20 16:49:56,593 | Guka.comunication.comunication | comunication.py[line:93] |  ERROR: a bytes-like object is required, not 'list' |  read_audio
2024-04-20 16:49:56,753 | Guka.comunication.comunication | comunication.py[line:93] |  ERROR: a bytes-like object is required, not 'list' |  read_audio
2024-04-20 16:49:56,904 | Guka.comunication.comunication | comunication.py[line:93] |  ERROR: a bytes-like object is required, not 'list' |  read_audio
2024-04-20 16:53:05,888 | Guka.comunication.comunication | comunication.py[line:93] |  ERROR: a bytes-like object is required, not 'list' |  read_audio
2024-04-20 16:53:06,038 | Guka.comunication.comunication | comunication.py[line:93] |  ERROR: a bytes-like object is required, not 'list' |  read_audio
2024-04-20 16:53:06,198 | Guka.comunication.comunication | comunication.py[line:93] |  ERROR: a bytes-like object is required, not 'list' |  read_audio
2024-04-20 16:53:06,348 | Guka.comunication.comunication | comunication.py[line:93] |  ERROR: a bytes-like object is required, not 'list' |  read_audio
2024-04-20 16:53:06,498 | Guka.comunication.comunication | comunication.py[line:93] |  ERROR: a bytes-like object is required, not 'list' |  read_audio
2024-04-20 16:53:06,648 | Guka.comunication.comunication | comunication.py[line:93] |  ERROR: a bytes-like object is required, not 'list' |  read_audio
2024-04-20 16:53:06,798 | Guka.comunication.comunication | comunication.py[line:93] |  ERROR: a bytes-like object is required, not 'list' |  read_audio
2024-04-20 20:09:14,927 | Guka.comunication.comunication | comunication.py[line:101] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 20:09:14,928 | Guka.pet.pet | pet.py[line:558] |  ERROR: argument of type 'NoneType' is not iterable |  audioTotext
2024-04-20 21:02:01,492 | Guka.comunication.comunication | comunication.py[line:101] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 21:02:01,492 | Guka.pet.pet | pet.py[line:558] |  ERROR: argument of type 'NoneType' is not iterable |  audioTotext
2024-04-21 10:08:38,887 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 10:08:57,011 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 10:08:57,011 | Guka.pet.pet | pet.py[line:541] |  INFO: Recording... |  audioTotext
2024-04-21 10:18:43,895 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 10:19:09,038 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 10:19:09,039 | Guka.pet.pet | pet.py[line:541] |  INFO: Recording... |  audioTotext
2024-04-21 12:46:17,471 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 12:46:27,798 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 12:46:27,798 | Guka.pet.pet | pet.py[line:541] |  INFO: Recording... |  audioTotext
2024-04-21 12:52:47,095 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 12:53:04,272 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 12:53:04,272 | Guka.pet.pet | pet.py[line:541] |  INFO: Recording... |  audioTotext
2024-04-21 12:53:18,822 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 12:57:19,025 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 12:57:36,704 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 12:57:36,704 | Guka.pet.pet | pet.py[line:541] |  INFO: Recording... |  audioTotext
2024-04-21 12:57:51,288 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 13:02:27,324 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 13:02:36,775 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 13:02:36,776 | Guka.pet.pet | pet.py[line:541] |  INFO: Recording... |  audioTotext
2024-04-21 13:02:51,020 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 13:12:31,442 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 13:12:38,668 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 13:12:38,669 | Guka.pet.pet | pet.py[line:541] |  INFO: Recording... |  audioTotext
2024-04-21 13:12:52,587 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 13:20:46,167 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 13:20:50,314 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 13:20:50,314 | Guka.pet.pet | pet.py[line:541] |  INFO: Recording... |  audioTotext
2024-04-21 13:21:04,898 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 13:25:15,831 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 13:25:24,919 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 13:25:24,919 | Guka.pet.pet | pet.py[line:541] |  INFO: Recording... |  audioTotext
2024-04-21 13:58:24,453 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 13:58:55,073 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 13:58:55,073 | Guka.pet.pet | pet.py[line:541] |  INFO: Recording... |  audioTotext
2024-04-21 13:59:10,770 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 14:04:35,345 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 14:04:40,608 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 14:04:40,609 | Guka.pet.pet | pet.py[line:541] |  INFO: Recording... |  audioTotext
2024-04-21 14:04:56,123 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 14:10:45,924 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 14:10:58,089 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 14:10:58,090 | Guka.pet.pet | pet.py[line:541] |  INFO: Recording... |  audioTotext
2024-04-21 14:34:06,989 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 14:34:13,145 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 14:34:13,145 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 14:42:46,315 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 14:42:53,907 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 14:42:53,908 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 14:47:39,889 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 14:47:48,027 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 14:47:48,028 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 14:56:55,828 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 14:57:04,799 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 14:57:04,800 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 15:03:47,864 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 15:03:55,230 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 15:03:55,231 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 15:04:03,542 | Guka.pet.pet | pet.py[line:562] |  ERROR: unpack requires a buffer of 4 bytes |  audioTotext
2024-04-21 15:12:06,890 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 15:12:13,786 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 15:12:13,786 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 15:12:23,466 | Guka.pet.pet | pet.py[line:561] |  ERROR: unpack requires a buffer of 4 bytes |  audioTotext
2024-04-21 15:43:21,843 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 15:43:31,346 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 15:43:31,346 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 15:44:36,262 | Guka.pet.pet | pet.py[line:561] |  ERROR: unpack requires a buffer of 4 bytes |  audioTotext
2024-04-21 15:50:45,275 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 15:50:52,255 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 15:50:52,255 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 15:56:30,694 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 15:57:10,987 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 15:57:10,987 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 16:05:29,956 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 16:06:08,204 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 16:06:08,205 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 16:06:21,626 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 16:12:51,012 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 16:12:59,214 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 16:12:59,214 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 16:28:26,266 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 16:28:37,908 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 16:28:37,908 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 16:28:54,334 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 16:35:57,117 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 16:36:05,984 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 16:36:05,984 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 16:36:26,444 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 16:42:21,585 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 16:42:28,615 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 16:42:28,616 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 16:42:43,306 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 16:55:19,298 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 16:55:28,387 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 16:55:28,387 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 16:58:43,791 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 16:58:56,175 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 16:58:56,175 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 16:59:04,239 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 17:06:10,866 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 17:06:16,293 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 17:06:16,293 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 17:06:23,859 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 17:18:49,602 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 17:18:54,006 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 17:18:54,006 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 17:20:53,092 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 17:20:59,486 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 17:20:59,487 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 17:21:06,760 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 17:24:59,566 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 17:25:03,291 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 17:25:03,291 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 17:25:11,599 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 17:27:12,271 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 17:27:16,696 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 17:27:16,696 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 17:29:39,331 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 17:29:43,453 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 17:29:43,453 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 17:33:21,036 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 17:33:23,833 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 17:33:23,834 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 17:37:56,022 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 17:38:21,331 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 17:38:21,331 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 17:41:20,225 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 17:42:20,304 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 17:42:20,304 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 17:53:21,748 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 17:53:36,201 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 17:53:36,201 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 18:01:13,704 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 18:01:36,974 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 18:01:36,974 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 18:19:00,633 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 18:19:13,977 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 18:19:13,977 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 18:30:43,564 | Guka.pet.pet | pet.py[line:535] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-21 18:30:47,229 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-21 18:30:47,229 | Guka.pet.pet | pet.py[line:539] |  INFO: Recording... |  audioTotext
2024-04-21 18:31:11,759 | Guka.pet.pet | pet.py[line:560] |  ERROR: unpack requires a buffer of 4 bytes |  audioTotext
2024-04-22 12:29:52,377 | Guka.pet.pet | pet.py[line:518] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-22 12:36:07,769 | Guka.pet.pet | pet.py[line:523] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-22 12:40:47,314 | Guka.pet.pet | pet.py[line:519] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-22 12:57:40,918 | Guka.pet.pet | pet.py[line:519] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-22 12:57:50,673 | Guka.comunication.comunication | comunication.py[line:35] |  INFO: 通讯模块开启 |  __init__
2024-04-22 12:57:50,674 | Guka.pet.pet | pet.py[line:523] |  INFO: Recording... |  audioTotext
2024-04-22 12:57:54,353 | Guka.pet.pet | pet.py[line:546] |  ERROR: list index out of range |  audioTotext
2024-04-22 21:04:37,356 | Guka.pet.pet | pet.py[line:519] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-23 10:24:11,197 | Guka.pet.pet | pet.py[line:519] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-23 10:58:58,046 | Guka.pet.pet | pet.py[line:519] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
2024-04-23 10:59:08,567 | Guka.comunication.comunication | comunication.py[line:37] |  INFO: 通讯模块开启 |  __init__
2024-04-23 10:59:08,567 | Guka.pet.pet | pet.py[line:523] |  INFO: Recording... |  audioTotext
2024-04-23 10:59:12,639 | Guka.pet.pet | pet.py[line:530] |  INFO: 你好 |  audioTotext
2024-04-23 10:59:12,643 | Guka.pet.pet | pet.py[line:550] |  ERROR: list index out of range |  audioTotext
2024-04-23 11:16:22,566 | Guka.pet.pet | pet.py[line:519] |  INFO: Press 'alt' + 'q' to start recording... |  audioTotext
